EXTRAS,EXPERIENCIA,FORMACION_ACADEMICA,SKILLS
Perfil,Experiencia ,academica,skills
Resumen,Profesional,Educación,Habilidades
Biografía,Logros,Formación,Cualificaciones
Sobre,Experiencia,Estudios,Conocimientos
mi,historial,educativo,Habilidades
personales,trabajo,académico,tecnologías
detalles,Idiomas,estudios,herramientas
Extracto,docente,Certificaciones,inglés
personales,Director,superior,francés
Presentación,práctica,complementarios,idiomas
Datos,internship,Cursos,toefl
Contacto,ayudante,Seminarios,programación
actividades,Referencias ,Talleres,librería
adicional,metas,Seminarios,español
antecedentes,Referencias,Exposiciones,software
deportes,encargado,Docencia,python
Interés,responsable,Publicaciones,excel
interes,analizar,Certificaciones,sql
Hobbies,manejo,universidad,office
Misceláneo,liderar,colegio,lenguaje
extraprogramática,realizar,instituto,ingles
Otros,función,coursera,informática
Voluntariados,controlar,edx,ofimática
Emprendimientos,ejecutivo,mba,avanzado
extracurriculares,organizar,Especialización,licencia
Complementario,asegurar,Bachiller,
calle,cliente,licenciatura,
dpto,desarrollar,capacitación,
avenida,coordinar,bachillerato,
región,kpi,título,
me,asistente,titulado,
soy,reportes,egresado,
RUT,supervisar,estudiante,
nacionalidad,redacción,minor,
nacimiento,comunicar,máster,
mail,apoyo,postgrado,
telefono,coordinación,diplomado,
fono,Atención,Especialización,
dni,administrar,conocimiento,
rut,revisión,ciencias,
referencias,medición,secundaria,
ingeniero,seguimiento,primaria,
ingeniera,reporte,workshop,
nombre,laborales,intercambio,
edad,emprendimiento,pasantía,
soltero,apoyar,licenciado,
casado,creación,mención,
divorciado,desempeñar,liceo,
proactivo,mantener,colegio,
dirección,proponer,carrera,
soy,actualizar,certificado,
comprometido,desempeñar,titulo,
trayectoria,asesorar,idiomas,
domicilio,visitar,universitarios,
,selección,diploma,
,business,diplomado,
,asegurar,datacamp,
,evaluación,magíster,
,propuesta,gradudado,
,cotización,,
,funciones,,
,concretar,,
,cátedra,,
,capturar,,
,manager,,
,aseguramiento,,
,operador,,
,facilitador,,
,dirigir,,
,realización,,
,ofrecer,,
,ejecucion,,
,confeccion,,
,consulteria,,
,recepción,,
,asesoramiento,,
,mejorar,,
,impartir,,
,mantener,,
,representar,,
,litigar,,
,aseroria,,
,liderar,,
,consultor,,
,humanos,,
,administracion,,
,especialista,,
,facilitando,,
,generación,,
,negociación,,
,participando,,
,potenciar,,
,área,,
,cargo,,
,recursos,,
,evaluar,,
,empresa,,
,realizar,,
